5.059999999999999915e-02 2.979257545810262697e-02 4.696835810054764485e-03 1.121635777433076199e-03 2.058414197130753291e-03 1.722857557259572375e-02 1.586459724824575710e-03 9.420839196314978459e-03
1.023000000000000020e-01 7.410124728323161380e-02 1.010475594315841073e-02 2.624545047341598786e-03 2.637891117408437854e-03 4.206186990872392423e-02 2.631167482179572973e-03 2.238009795087663248e-02
1.552999999999999936e-01 1.155464520959709057e-01 1.993054116869877324e-02 4.639754865942018885e-03 4.001552588539508161e-03 6.767704312915487352e-02 4.323083270575846584e-03 3.605401637229384976e-02
2.096999999999999975e-01 1.518474818058424824e-01 3.602968259584342359e-02 6.891258171107232482e-03 5.922997238819836460e-03 9.386414384916223763e-02 6.410814156292417298e-03 5.021195548089198851e-02
2.656999999999999917e-01 1.514895236866825590e-01 5.509423236081102682e-02 7.905707581076741944e-03 6.702854539107190590e-03 1.032299220058541522e-01 7.308860493239769697e-03 5.535107947004502815e-02
3.232999999999999763e-01 1.297808492527120494e-01 9.239841628676759289e-02 1.174306368777805129e-02 9.606877943886227636e-03 1.110656060672800816e-01 1.068310392218516959e-02 6.095984358907446249e-02
3.826999999999999846e-01 1.183990655939944486e-01 1.337020895991564429e-01 1.553135580378140444e-02 1.413737985005685156e-02 1.260604127304565669e-01 1.483967362359106014e-02 7.054476213179930455e-02
4.441999999999999837e-01 8.490280741234777773e-02 1.466440975307579386e-01 2.453491487247752220e-02 2.110222411406192933e-02 1.158131348918406689e-01 2.283171918427075522e-02 6.940161163300154201e-02
5.078000000000000291e-01 5.826444842476816849e-02 1.421407621571776636e-01 4.302050577162113559e-02 2.816570003170485587e-02 1.002565153981199580e-01 3.564965913489534510e-02 6.800810694978351445e-02
5.738999999999999657e-01 3.791692004348130168e-02 1.213962292509739166e-01 8.788094669816544358e-02 3.923199321316688665e-02 7.971022857690798769e-02 6.374168729844739700e-02 7.173955631514536413e-02
6.424999999999999600e-01 1.634023207733930130e-02 8.654336987254911129e-02 1.424299544883444457e-01 4.808741895985393228e-02 5.148692173550431517e-02 9.561787330702220533e-02 7.351479931216463315e-02
7.139999999999999680e-01 7.116038482481120038e-03 5.111232536987563718e-02 1.703541097660503378e-01 5.322276619036316048e-02 2.914245498736896603e-02 1.122343794301780828e-01 7.061765624042715128e-02
7.884999999999999787e-01 1.865340833613079227e-03 2.565325195218511739e-02 1.692553797106154112e-01 7.911784922826091415e-02 1.377458506280088840e-02 1.245297863550281353e-01 6.905786524208300248e-02
8.663999999999999480e-01 9.882212515100535983e-05 1.500864862643780905e-02 1.447611577904369951e-01 1.162166486683412076e-01 7.563317654317858532e-03 1.305975785944138157e-01 6.897567046691839565e-02
9.478999999999999648e-01 1.469276022672791641e-04 1.089868672186268019e-02 1.043800065671853100e-01 1.704913049674952885e-01 5.529717657573414089e-03 1.371839553567216208e-01 7.124471761901489397e-02
1.033400000000000096e+00 -3.556056414015820418e-05 7.516641109308818194e-03 3.703701438568604565e-02 1.159890906238345287e-01 3.745394140252696156e-03 7.621246517977310619e-02 3.991721557722359426e-02
1.123299999999999965e+00 2.244309765438163966e-04 7.483519756253440187e-03 1.175060894589201321e-02 1.012198596643318765e-01 3.858642355268587787e-03 5.614460839920826229e-02 2.995709693797619574e-02
1.217899999999999983e+00 6.332356473392855871e-04 8.721876639116105459e-03 5.053759320731818390e-03 8.684344745030701807e-02 4.682754995296050347e-03 4.563721333088367749e-02 2.512510678014042223e-02
1.317600000000000104e+00 5.645790612907744879e-04 4.649273755811540731e-03 1.647487102512938456e-03 3.908932900040455738e-02 2.609551848079220450e-03 2.022585966386284892e-02 1.140270355087458394e-02
1.423000000000000043e+00 1.690085822240501839e-03 5.329548896151857507e-03 2.293988787642573836e-03 2.609675685271985179e-02 3.512156584358200502e-03 1.410475101175021756e-02 8.799432946681381984e-03
1.534499999999999975e+00 1.579729626203031688e-03 2.882926417689791673e-03 1.298186272879599127e-03 1.055882836527383475e-02 2.232167387904503836e-03 5.893250791103321791e-03 4.059591226940109480e-03
1.652700000000000058e+00 1.817513819757081862e-03 1.976991275932306943e-03 8.367579255358682539e-04 6.075201495495645074e-03 1.897355070955279504e-03 3.436090307166595696e-03 2.665387174170774122e-03
1.778399999999999981e+00 1.937203889431611883e-03 1.656294485837581749e-03 5.920041822756319039e-04 3.644911462920575815e-03 1.796569537544230079e-03 2.106835895184896307e-03 1.951437285796917909e-03
1.912099999999999911e+00 1.181667354182045849e-03 9.156523514531325278e-04 4.282493588090961626e-04 1.905384427563498479e-03 1.048488899743833672e-03 1.161193429744426060e-03 1.104745215728635986e-03
2.054699999999999971e+00 1.344446484123799218e-03 1.196876628038727290e-03 4.386685211453882592e-04 1.543433990250824570e-03 1.270566343201735143e-03 9.868451971249893751e-04 1.128947579175802957e-03
